上课人公司,上课人职务,大行业,行业,附件
广东麦多多实业有限公司,总经理,科技,3c数码,
广东麦多多实业有限公司,总经理,跨境电商,电商,
广东麦多多实业有限公司,总经理,科技,电子行业,
广东麦多多实业有限公司,总经理,消费品,数码配件,
广东麦多多实业有限公司,总经理,消费品,消费电子,
北京格雷,经理,其他,NULL,
北京南城香餐饮有限公司,副总经理,其他,NULL,
北京学而思教育科技有限公司,战略研究负责人,其他,NULL,
长沙味之翼湘餐饮有限公司,董事,餐饮,餐饮行业,
长沙誉文科技有限公司,经理,消费品,健康产品,
大汇网络科技,NULL,跨境电商,跨境电商,
东莞市华世食品有限公司,项目经理,其他,服务业,
冬嘻企业管理咨询有限公司,创始人,其他,NULL,
发颜悦色,创始人,消费品,新消费,
发颜悦色,创始人,科技,移动互联网,
高梵（浙江）信息技术有限公司,董事长,其他,NULL,
个人,创始人,其他,地产,
个人,经理,消费品,服装零售,
个人,课程设计,其他,地产,
古帆餐具（上海）有限公司,NULL,其他,NULL,
广东建元玩具实业有限公司,产品,其他,制造业,
广东快康健康咨询有限公司,创始人,其他,健康行业,
广东麦多多实业有限公司,产品经理,消费品,数码配件,
广东麦多多实业有限公司,电商经理,消费品,数码配件,
广东省拼奇文化科技有限公司,HRD,消费品,玩具,
广东省拼奇文化科技有限公司,VP,消费品,快销,
广州博志商贸有限公司,营销部主管,其他,NULL,
广州秘令科技有限公司,董事长,消费品,美容,
广州摩打餐饮服务有限公司,NULL,其他,NULL,
广州摩匠餐饮服务有限公司,产品经理,由于<|行业|>字段的值为NULL，无法判断属于哪个行业，因此答案为其他。,NULL,
广州摩客贸易有限公司,NULL,消费品,服装,
广州青花瓷健康科技有限公司,总监,其他,NULL,
广州市厚薄服饰有限公司,客服经理,其他,NULL,
广州市原上服饰实业有限公司,商品企划,其他,NULL,
广州市原上服饰实业有限公司,新零售主管,其他,NULL,
广州思迈新服饰有限公司,副总,跨境电商,跨境电商,
广州兴趣岛信息科技有限公司,产品,其他,教育,
广州兴趣岛信息科技有限公司,内容经理,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,用户满意品控和升级中心负责人,科技,教育培训/互联网,
广州星际悦动股份有限公司,NULL,其他,NULL,
贵州天地人和酒业有限公司,NULL,消费品,批发零售,
贵州喜百年装饰工程有限公司,策划总监,消费品,装饰家居,
桂满陇餐饮,ceo,餐饮,餐饮,
杭州艾啦时尚品牌管理有限公司,NULL,其他,国内电商,
杭州艾啦时尚品牌管理有限公司,ceo,消费品,国内电商,
杭州布道教育科技有限公司,产品主管,其他,服务,
杭州布道教育科技有限公司,老师,其他,服务,
杭州布道教育科技有限公司,品牌总监,其他,服务,
杭州布道教育科技有限公司,视觉总监,其他,服务,
杭州恩采文化创意有限公司,ceo,跨境电商,电商,
杭州方回春堂集团有限公司,总经理,其他,医疗,
杭州靖安科技有限公司,体验设计专家,科技,IT,
杭州靖安科技有限公司,体验设计专家,科技,计算机软件,
杭州维学新知网络科技有限公司,负责人,其他,NULL,
杭州研趣信息技术有限公司,市场营销总监,其他,检测,
杭州瑶宝婴童用品有限公司,NULL,其他,NULL,
杭州瑶宝婴童用品有限公司,小红书运营主管,其他,NULL,
和也健康科技有限公司,副总经理,其他,NULL,
湖南厘享健康科技有限公司,副总,其他,NULL,
吉林省艾檬电子有限公司,NULL,其他,NULL,
吉林省艾檬电子有限公司,产品经理,其他,NULL,
吉林省艾檬电子有限公司,总经理,其他,NULL,
江门市新会区葵记食品有限公司,CEO,其他,NULL,
江南布衣服饰有限公司,NULL,其他,NULL,
江苏享佳健康科技股份有限公司,NULL,其他,医疗,
江西美尔丝瓜络有限公司,销售经理,消费品,个护家清,
江西心隐企业管理咨询有限公司,区域经理,其他,美容SPA/健康管理,
金华市常资健健康科技有限公司,总经理助理,其他,NULL,
金华小桔灯清洁用品有限公司,经理,其他,NULL,
昆明冠生园食品有限公司,总经理,其他,NULL,
兰本味（北京）餐饮有限公司,副总经理,其他,NULL,
柳州市远黛贸易有限公司,总经理,其他,NULL,
明月镜片股份有限公司,NULL,由于没有提供<|行业|>的具体内容，无法准确判断所属行业，请补充<|行业|>的具体信息。 ,System.String[],
明月镜片股份有限公司,总经理,由于未给出<|行业|>具体内容，无法判断所属行业。请提供<|行业|>的具体信息。 ,System.String[],
南昌美博文化传媒有限公司,副总经理,消费品,服饰内衣,
南京善小仙生物科技有限公司,NULL,其他,NULL,
南京图益创意科技有限公司,NULL,消费品,益智玩具,
南京图益创意科技有限公司,董事长,消费品,益智玩具,
年年有余（浙江）文化科技有限公司,视觉总监,其他,NULL,
佩合社群,产品研发负责人,其他,NULL,
启晟（天津）宠物医院管理有限公司,城市经理,其他,NULL,
潜江市蓝天教育集团,投资人,其他,NULL,
泉州唐人制衣有限公司,董事长,其他,NULL,
善陆（上海）健康管理咨询有限公司,CHO,其他,NULL,
上海房外房信息科技有限公司,分析师,其他,房地产,
上海冠升教育科技有限公司,国际事业,其他,NULL,
上海空空无言文化传播有限公司,NULL,科技,高新科技,
上海空空无言文化传播有限公司,CEO,其他,教育,
上海七壶餐饮管理有限公司,NULL,其他,NULL,
上海七十迈数字科技有限公司,电商运营主管,科技,物联网科技,
上海七小七贸易有限公司,NULL,其他,NULL,
