上课人公司,上课人职务,大行业,行业,附件
广东麦多多实业有限公司,总经理,消费品,3c数码,
北京格雷,经理,其他,NULL,
北京南城香餐饮有限公司,副总经理,餐饮,餐饮,
北京学而思教育科技有限公司,战略研究负责人,科技,教育培训/互联网,
长沙味之翼湘餐饮有限公司,董事,餐饮,餐饮行业,
长沙誉文科技有限公司,经理,消费品,健康产品,
大汇网络科技,NULL,跨境电商,跨境电商,
东莞市华世食品有限公司,项目经理,消费品,食品,
冬嘻企业管理咨询有限公司,创始人,其他,NULL,
发颜悦色,创始人,消费品,新消费,
高梵（浙江）信息技术有限公司,董事长,科技,互联网,
个人,创始人,其他,地产,
古帆餐具（上海）有限公司,NULL,消费品,餐具,
广东建元玩具实业有限公司,产品,消费品,玩具,
广东快康健康咨询有限公司,创始人,其他,健康行业,
广东省拼奇文化科技有限公司,HRD,消费品,玩具,
广州博志商贸有限公司,营销部主管,其他,NULL,
广州秘令科技有限公司,董事长,消费品,美容,
广州摩打餐饮服务有限公司,NULL,餐饮,餐饮,
广州摩匠餐饮服务有限公司,产品经理,餐饮,餐饮,
广州摩客贸易有限公司,NULL,消费品,服装,
广州青花瓷健康科技有限公司,总监,其他,NULL,
广州市厚薄服饰有限公司,客服经理,消费品,服装,
广州市原上服饰实业有限公司,商品企划,消费品,服装,
广州思迈新服饰有限公司,副总,跨境电商,跨境电商,
广州兴趣岛信息科技有限公司,产品,科技,教育培训/互联网,
广州星际悦动股份有限公司,NULL,其他,NULL,
贵州天地人和酒业有限公司,NULL,消费品,酒类,
贵州喜百年装饰工程有限公司,策划总监,消费品,装饰家居,
桂满陇餐饮,ceo,餐饮,餐饮,
杭州艾啦时尚品牌管理有限公司,ceo,消费品,国内电商,
杭州布道教育科技有限公司,产品主管,科技,教育培训/互联网,
杭州恩采文化创意有限公司,ceo,跨境电商,电商,
杭州方回春堂集团有限公司,总经理,其他,医疗,
杭州靖安科技有限公司,体验设计专家,科技,IT,
杭州维学新知网络科技有限公司,负责人,科技,教育培训/互联网,
杭州研趣信息技术有限公司,市场营销总监,其他,检测,
杭州瑶宝婴童用品有限公司,NULL,消费品,母婴,
和也健康科技有限公司,副总经理,其他,NULL,
湖南厘享健康科技有限公司,副总,其他,NULL,
吉林省艾檬电子有限公司,NULL,消费品,电子产品,
江门市新会区葵记食品有限公司,CEO,消费品,食品,
江南布衣服饰有限公司,NULL,消费品,服装,
江苏享佳健康科技股份有限公司,NULL,其他,医疗,
江西美尔丝瓜络有限公司,销售经理,消费品,个护家清,
江西心隐企业管理咨询有限公司,区域经理,其他,美容SPA/健康管理,
金华市常资健健康科技有限公司,总经理助理,其他,NULL,
金华小桔灯清洁用品有限公司,经理,消费品,清洁用品,
昆明冠生园食品有限公司,总经理,消费品,食品,
兰本味（北京）餐饮有限公司,副总经理,餐饮,餐饮,
柳州市远黛贸易有限公司,总经理,其他,NULL,
明月镜片股份有限公司,NULL,消费品,眼镜,
南昌美博文化传媒有限公司,副总经理,消费品,服饰内衣,
南京善小仙生物科技有限公司,NULL,消费品,食品,
南京图益创意科技有限公司,NULL,消费品,益智玩具,
年年有余（浙江）文化科技有限公司,视觉总监,其他,NULL,
佩合社群,产品研发负责人,其他,NULL,
启晟（天津）宠物医院管理有限公司,城市经理,其他,NULL,
潜江市蓝天教育集团,投资人,科技,教育培训/互联网,
泉州唐人制衣有限公司,董事长,消费品,服装,
善陆（上海）健康管理咨询有限公司,CHO,其他,NULL,
上海房外房信息科技有限公司,分析师,其他,房地产,
上海冠升教育科技有限公司,国际事业,科技,教育培训/互联网,
上海空空无言文化传播有限公司,CEO,科技,高新科技,
上海七壶餐饮管理有限公司,NULL,餐饮,餐饮,
上海七十迈数字科技有限公司,电商运营主管,科技,物联网科技,
上海七小七贸易有限公司,NULL,其他,NULL,
上海启堂贸易有限公司,经理,其他,NULL,
上海泰岚信息科技有限公司,副总经理,跨境电商,跨境电商,
上海怡科经贸有限公司,NULL,跨境电商,跨境电商,
上海英利生贸易有限公司,營運總監,消费品,服饰服装,
上海泽田餐饮管理有限公司,品牌经理,餐饮,餐饮,
深圳步步为饮网络科技有限公司,总经理,消费品,饮品,
深圳京正康源商贸有限公司,市场总监,消费品,新零售,
深圳酷骑童趣科技有限公司,创始人,消费品,玩具,
深圳浪琪科技有限公司,CEO,消费品,电子产品,
深圳里子科技贸易有限公司,运营,消费品,新零售,
深圳市布宜诺实业有限公司,暂无,其他,NULL,
深圳市创拓电子商务有限公司,运营,跨境电商,跨境电商,
深圳市东森餐饮管理有限公司,品牌市场专员,餐饮,餐饮,
深圳市对庄科技有限公司,NULL,跨境电商,电子商务,
深圳市甘棠明善企业管理集团有限公司,运营总监,餐饮,餐饮,
深圳市歌瑞创新信息技术有限公司,NULL,跨境电商,跨境电商,
深圳市欧莎世家服饰有限公司,VP,消费品,服装,
深圳市启扬利泽商务服务有限责任公司,总经理,其他,NULL,
深圳市沃博尔科技有限公司,运营总监,消费品,3C手机数码,
深圳市鑫尼达科技有限公司,销售主管,跨境电商,跨境电商,
深圳太阳升贸易有限公司,运营,其他,NULL,
深圳唯乐高科技有限公司,CMO,科技,高新科技,
深圳盈富斯科技有限公司,产品,跨境电商,跨境电商,
嵊州市金帝智能厨电有限公司,市场总监,消费品,厨电,
北海逮虾记食品有限公司,CMO,消费品,食品,
北京华睿博视医学影像技术有限公司,NULL,其他,医疗,
北京七个小伙伴传媒科技有限公司,CEO,其他,自媒体,
北京思无疆科技有限公司,CEO,消费品,食品,
北京下厨房科技有限公司,品牌营销经理,消费品,国内电商,
北京新世纪青年饮食有限公司,市场,餐饮,餐饮,
北京阳坊胜利饮食文化发展有限公司,会员总监,餐饮,餐饮,
成都一起精彩体育发展有限公司,教研产品负责人,科技,教育培训/互联网,
大树小树儿童摄影,总经理,其他,NULL,
广东参之源健康科技有限公司,NULL,消费品,滋补,
广东骐麟文化产业有限公司,总经理,其他,NULL,
广州本自具足文化传媒有限公司,运营主管,科技,教育培训/互联网,
广州等我送上门餐饮有限公司,市场经理,餐饮,餐饮,
广州闪潮贸易有限公司,总经理,跨境电商,电商,
广州天成餐饮有限公司,培训经理,餐饮,餐饮,
锅圈,一般管理人员,餐饮,餐饮,
杭州巴九灵文化创意股份有限公司,总经理,科技,教育培训/互联网,
杭州暴臻服饰有限公司,设计&视觉总监,消费品,服装,
杭州超级速度科技有限公司,创始人,科技,高新科技,
杭州汉夕互联网科技有限公司,联合创始人,科技,互联网,
杭州莫可科技有限公司,创始人,消费品,消费品,
杭州食验室营销有限公司,总经理,消费品,食品,
杭州星洢科技有限公司,直播,消费品,新媒体电商,
杭州言天珠宝有限公司,创始人,消费品,珠宝,
杭州尤赫控股有限公司,ceo,消费品,国内电商,
合肥蓝梦猫品牌管理有限公司,供应链,其他,NULL,
合肥亿行医药有限公司,NULL,其他,医疗,
呼和浩特市新途径培训服务有限公司,项目经理,科技,教育培训/互联网,
吉林省瑞曼沃德服饰有限公司,NULL,消费品,服装,
嘉兴瑞仪母婴服务有限公司,经理,消费品,母婴,
锦轩餐饮公司,经理,餐饮,餐饮,
立华合创（武汉）生物科技有限公司,包装设计,其他,NULL,
溧阳市天目湖南山竹海旅游有限公司,NULL,其他,NULL,
庐山鹏川文化有限公司,运营总监,其他,NULL,
马克实业（深圳）有限公司,创始人/品牌总监,消费品,电子商务/文化创意消费品,
南京呼吸康医疗器械有限公司,连锁运营部负责人,其他,医疗,
南京尚艺良品科技有限公司,C E O,消费品,消费品,
宁波江北区婚纱美学艺术中心,总经理,其他,NULL,
秦皇岛易美特健身服务有限公司,老板,其他,NULL,
青岛伊可普电器有限公司,总经理,跨境电商,跨境电商,
山西袋鼠先生商贸有限公司,抖音负责人,消费品,新零售,
汕头市华乐福食品有限公司,总经理,消费品,休闲食品,
上海艾雷电子商务有限公司,CRM部经理,消费品,电商消费,
上海德晖景和投资管理有限公司,品牌负责人,其他,NULL,
上海锦河餐饮管理有限公司,新项目总监,餐饮,餐饮,
上海来伊份股份有限公司,用户体验研究,消费品,食品,
上海满小饱食品科技有限公司,经销总监,消费品,食品,
上海盘点食品科技有限公司,市场部,消费品,食品,
上海始然服饰有限公司,总经理,消费品,服装
