开课日期,课程,期号,城市,导师,上课人数,上课企业数
2016/12/10,升级定位,11,上海,冯卫东,39,32
2017/3/4,做实企业文化,3,上海,欧德张,38,28
2017/3/25,税务科学筹划,1,上海,叶建平,25,21
2017/4/15,赋能型商业模式,9,上海,林桂平,31,26
2017/4/22,动态股权设计,40,上海,何德文,1,1
2017/5/13,精益产品创新,5,上海,刘官华,33,19
2017/7/1,做实企业文化,8,上海,欧德张,61,32
2017/7/22,精益产品创新,8,上海,刘官华,32,23
2017/8/19,做实企业文化,9,上海,欧德张,60,30
2017/9/2,升级定位,19,上海,冯卫东,44,38
2017/9/16,动态股权设计,49,上海,何德文,49,40
2017/10/21,赋能型商业模式,12,上海,林桂平,32,23
2017/11/18,做实企业文化,15,上海,欧德张,59,39
2017/11/25,税务科学筹划,11,上海,叶建平,39,34
2017/12/9,OKR实战工作坊,5,上海,姚琼,49,25
2018/1/20,做实企业文化,18,上海,欧德张,61,38
2018/3/16,财务特训,2,上海,叶建平,40,32
2018/3/17,精益产品创新,12,上海,刘官华,53,33
2018/3/24,定位式营销,9,上海,潘轲,26,22
2018/4/14,供应链再造,2,上海,姜宏锋,55,37
2018/4/21,精益产品创新,13,上海,刘官华,22,20
2018/5/12,动态股权设计,61,上海,何德文,44,37
2018/5/19,管理体系,5,上海,周庆明,30,24
2018/5/26,税务科学筹划,18,上海,叶建平,42,32
2018/6/2,OKR实战工作坊,11,上海,姚琼,47,34
2018/6/9,人才管理,2,上海,吴建国,59,45
2018/6/23,动态股权设计,65,上海,何德文,41,38
2018/7/7,做实企业文化,23,上海,欧德张,73,54
2018/7/21,赋能型商业模式,19,上海,林桂平,33,30
2018/7/28,科学分钱,2,上海,卞志汉,54,42
2018/8/4,税务科学筹划,22,上海,叶建平,56,41
2018/8/11,动态股权设计,68,上海,何德文,33,31
2018/8/25,供应链再造,8,上海,姜宏锋,30,23
2018/9/8,OKR实战工作坊,16,上海,姚琼,46,29
2018/9/15,品牌体验设计,1,上海,汪志谦,46,38
2018/10/13,人才管理,6,上海,吴建国,61,48
2018/10/13,税务科学筹划,26,上海,叶建平,49,42
2018/10/26,管理者的自我管理,3,上海,欧阳开贵&邓良,46,35
2018/10/27,赋能型商业模式,22,上海,林桂平,32,26
2018/11/10,科学分钱,7,上海,卞志汉,57,46
2018/11/17,大客户精准销售,1,上海,郑涛,46,28
2018/11/24,教练式领导力,1,上海,季益祥,55,37
2018/12/1,OKR实战工作坊,18,上海,姚琼,46,35
2018/12/15,做实企业文化,29,上海,欧德张,77,53
2018/12/22,品牌体验设计,6,上海,汪志谦,52,34
2018/12/22,税务科学筹划,29,上海,叶建平,46,37
2019/1/5,动态股权设计,78,上海,何德文,64,50
2019/1/12,大客户精准销售,3,上海,郑涛,45,22
2019/2/21,税务科学筹划,30,上海,叶建平,38,34
2019/2/23,创始人财务进阶,2,上海,徐薇,80,60
2019/3/9,极简项目管理,1,上海,郭嘉,61,35
2019/3/16,OKR实战工作坊,21,上海,姚琼,66,40
2019/3/23,赋能型商业模式,25,上海,林桂平,39,35
2019/3/23,做实企业文化,32,上海,欧德张,89,54
2019/3/30,税务科学筹划,32,上海,叶建平,60,49
2019/4/13,精益产品创新,18,上海,刘官华,36,25
2019/4/20,教练式领导力,9,上海,季益祥,56,32
2019/4/20,品牌体验设计,9,上海,汪志谦,49,41
2019/4/27,大客户精准销售,7,上海,郑涛,45,23
2019/5/11,科学分钱,13,上海,卞志汉,51,40
2019/5/18,极简项目管理,3,上海,郭嘉,45,33
2019/5/25,领导力十项修炼,2,上海,刘澜,41,35
2019/5/25,用户驱动增长,3,上海,张思宏,39,33
2019/6/1,定位大课,32,上海,冯卫东,213,168
2019/6/1,动态股权设计,83,上海,何德文,44,37
2019/6/15,OKR实战工作坊,27,上海,姚琼,38,26
2019/6/15,教练式领导力,12,上海,季益祥,52,35
2019/6/22,做实企业文化,37,上海,欧德张,57,43
2019/6/29,创始人财务进阶,9,上海,徐薇,46,40
2019/6/29,供应链再造,16,上海,姜宏锋,55,35
2019/7/6,品牌体验设计,13,上海,汪志谦,53,44
2019/7/6,税务科学筹划,37,上海,叶建平,33,33
2019/7/13,科学定价,3,上海,杨一安,40,36
2019/7/27,教练式领导力,16,上海,季益祥,43,36
2019/7/27,精益产品创新,19,上海,刘官华,39,24
2019/8/3,供应链再造,18,上海,姜宏锋,34,22
2019/8/10,OKR实战工作坊,29,上海,姚琼,49,32
2019/8/10,教练式领导力,17,上海,季益祥,37,29
2019/8/17,做实企业文化,41,上海,欧德张,70,50
2019/8/24,教练式领导力,18,上海,季益祥,35,28
2019/9/7,管理者的自我管理,11,上海,欧阳开贵,34,28
2019/9/10,科学融资,2,上海,董博欣,39,37
2019/9/10,取消未开班,2,上海,董博欣,5,4
2019/9/21,极简项目管理,8,上海,郭嘉,44,33
2019/10/12,动态股权设计,89,上海,何德文,47,41
2019/10/19,变革领导力,1,上海,肖晔,39,37
2019/10/19,品牌体验设计,17,上海,汪志谦,46,34
2019/10/26,赋能型商业模式,29,上海,林桂平,24,22
2019/10/26,业务管理者养成,1,上海,汤君健,52,45
2019/11/2,教练式领导力,21,上海,季益祥,42,26
2019/11/9,管理者的自我管理,12,上海,欧阳开贵&邓良,24,20
2019/11/16,OKR实战工作坊,33,上海,姚琼,36,23
2019/11/23,供应链再造,21,上海,姜宏锋,30,25
2019/11/23,税务科学筹划,40,上海,叶建平,42,32
2019/11/30,创始人财务进阶,15,上海,徐薇,41,31
2019/12/14,科学分钱,26,上海,卞志汉,58,40
2019/12/20,极简项目管理,13,上海,郭嘉,50,30
2019/12/21,做实企业文化,46,上海,欧德张,63,40
2020/1/3,流程型组织,31,上海,蒋伟良,98,42
2020/1/8,品牌体验设计,20,上海,汪志谦,50,33
2020/1/11,业务领先战略,1,上海,汪瀛,66,49
2020/4/18,OKR实战工作坊,36,上海,姚琼,1,1
2020/5/9,科学分钱,28,上海,卞志汉,30,20
2020/5/16,产品开发管理IPD,7,上海,刘红革,45,23
2020/5/22,流程型组织,33,上海,蒋伟良,45,26
