序号,班级名称,讲师,订单数量,收入,收入排名,收入占比,项目利润,项目利润排名,项目利润占比,高维毛利,高维毛利排名,高维毛利占比,利润率
1,月度经营分析会,祝鹏程,770,202.0,1,0.07,125.9,1,0.09,118.8,1,0.09,62.32673267326733
2,OGSM业务规划与执行,高旭,412,187.1,2,0.06,103.5,2,0.08,96.7,2,0.08,55.31801175841796
3,升级定位与品牌战略,冯卫东,172,166.2,4,0.06,94.0,3,0.07,90.5,3,0.07,56.558363417569204
4,流程型组织,蒋伟良,356,174.8,3,0.06,80.6,4,0.06,76.0,4,0.06,46.109839816933636
5,供应链管理,高上,244,110.9,8,0.04,68.6,5,0.05,65.5,5,0.05,61.85752930568078
6,人人都是自己的CEO,王潇航,251,116.0,7,0.04,64.4,6,0.05,61.2,6,0.05,55.51724137931034
7,极简项目管理,郭嘉,262,118.0,6,0.04,55.2,7,0.04,52.3,7,0.04,46.779661016949156
8,跨境爆品打造,张雷,229,107.4,9,0.04,53.3,8,0.04,50.0,8,0.04,49.62756052141526
9,产品供应链全链条,张晓,196,87.6,13,0.03,51.7,9,0.04,49.7,9,0.04,59.01826484018265
10,教练式领导力,李益祥,220,98.6,10,0.03,47.9,10,0.04,45.6,10,0.04,48.580121703853955
11,科学分线,下志汉,234,127.3,5,0.04,41.9,11,0.03,38.7,11,0.03,32.91437549096622
12,超级面试官,曾川盛,270,66.3,16,0.02,36.4,13,0.03,34.5,12,0.03,54.90196078431373
13,增长与印刷打造,汤君权,171,76.9,15,0.03,36.5,12,0.03,34.4,13,0.03,47.46423927178153
14,品牌体验设计,王志谦,187,94.9,11,0.03,35.7,14,0.03,33.1,14,0.03,37.61854583772392
15,卓越经营者,祝鹏程,179,84.1,14,0.03,34.7,15,0.03,32.6,15,0.03,41.26040428061832
16,1号找人官,刘攸锋,239,64.6,18,0.02,34.0,16,0.03,32.3,16,0.03,52.63157894736843
17,产品开发管理IPD,汤君权,143,63.2,20,0.02,27.1,17,0.02,25.8,17,0.02,42.879746835443036
18,需求预测管理&库存管控,高上,108,48.6,24,0.02,24.1,18,0.02,23.1,18,0.02,49.58847736625515
19,打造竞争领先型餐饮供应链,赵传书,115,61.7,21,0.02,23.9,19,0.02,22.0,19,0.02,38.73581847649918
20,战略级项目管理,郭嘉,100,47.9,26,0.02,23.3,20,0.02,22.0,20,0.02,48.64300626304802
21,业务领先战略,高旭,119,57.6,22,0.02,19.7,21,0.01,18.2,21,0.01,34.20138888888889
